B19013_001E,state,county,tract,block group
161250,17,031,062200,1
166917,17,031,062200,2
181250,17,031,062300,1
141328,17,031,062400,1
157143,17,031,062500,1
187857,17,031,062600,1
107031,17,031,062700,1
204338,17,031,062700,2
139188,17,031,062700,3
108750,17,031,062800,1
206563,17,031,062800,2
152946,17,031,062800,3
144449,17,031,062900,1
136563,17,031,062900,2
162656,17,031,062900,3
88750,17,031,063000,1
110188,17,031,063000,2
106167,17,031,063000,3
96875,17,031,063100,1
95500,17,031,063100,2
61694,17,031,063200,1
110667,17,031,063200,2
63750,17,031,063200,3
85811,17,031,063200,4
63190,17,031,063200,5
67127,17,031,063200,6
43906,17,031,063301,1
86012,17,031,063301,2
62318,17,031,063301,3
115900,17,031,063302,1
65156,17,031,063302,2
80820,17,031,063302,3
66808,17,031,063302,4
55250,17,031,063303,1
113000,17,031,063303,2
131705,17,031,063400,1
88333,17,031,063400,2
102206,17,031,070101,1
91563,17,031,070101,2
68510,17,031,070101,3
81750,17,031,070102,1
103636,17,031,070102,2
55654,17,031,070102,3
70250,17,031,070103,1
77740,17,031,070103,2
104826,17,031,070200,1
118086,17,031,070200,2
77946,17,031,070200,3
192222,17,031,070300,1
151146,17,031,070300,2
-666666666,17,031,070400,1
193750,17,031,070400,2
250001,17,031,070400,3
105833,17,031,070500,1
-666666666,17,031,070500,2
198833,17,031,070500,3
250001,17,031,070600,1
225694,17,031,070600,2
206719,17,031,070700,1
85921,17,031,070700,2
202974,17,031,071000,1
213036,17,031,071000,2
208125,17,031,071100,1
190068,17,031,071100,2
130189,17,031,071200,1
157989,17,031,071200,2
126543,17,031,071300,1
85455,17,031,071300,2
108274,17,031,071400,1
88800,17,031,071400,2
117037,17,031,071400,3
113958,17,031,071400,4
94741,17,031,071500,1
144043,17,031,071500,2
76964,17,031,071500,3
53782,17,031,071500,4
113036,17,031,071500,5
124046,17,031,071500,6
166875,17,031,071600,1
250001,17,031,071700,1
137500,17,031,071700,2
192273,17,031,071800,1
169861,17,031,071800,2
86250,17,031,080100,1
118393,17,031,080100,2
76364,17,031,080100,3
175328,17,031,080100,4
126974,17,031,080100,5
190500,17,031,080100,6
-666666666,17,031,080100,7
140000,17,031,080201,1
81417,17,031,080201,2
120375,17,031,080201,3
107250,17,031,080202,1
98039,17,031,080202,2
94111,17,031,080202,3
95978,17,031,080300,1
141125,17,031,080300,2
185170,17,031,080300,3
156250,17,031,080300,4
39491,17,031,080400,1
-666666666,17,031,080400,2
250001,17,031,080400,3
135976,17,031,081000,1
148109,17,031,081000,2
77171,17,031,081000,3
-666666666,17,031,081000,4
-666666666,17,031,081000,5
-666666666,17,031,081000,6
90227,17,031,081100,1
-666666666,17,031,081100,2
87045,17,031,081100,3
172604,17,031,081201,1
119245,17,031,081201,2
111031,17,031,081201,3
250001,17,031,081202,1
154519,17,031,081202,2
83975,17,031,081202,3
230781,17,031,081202,4
-666666666,17,031,081300,1
236389,17,031,081300,2
125536,17,031,081300,3
138750,17,031,081300,4
58810,17,031,081300,5
157321,17,031,081300,6
59750,17,031,081401,1
82685,17,031,081401,2
122879,17,031,081402,1
166168,17,031,081402,2
112466,17,031,081402,3
128906,17,031,081403,1
76429,17,031,081403,2
94559,17,031,081403,3
172799,17,031,081500,1
140853,17,031,081500,2
101760,17,031,081500,3
127091,17,031,081600,1
113068,17,031,081600,2
81685,17,031,081700,1
124594,17,031,081700,2
192600,17,031,081800,1
155993,17,031,081800,2
196993,17,031,081800,3
121816,17,031,081800,4
175833,17,031,081900,1
96208,17,031,090100,1
143750,17,031,090100,2
155122,17,031,090100,3
106250,17,031,090100,4
164297,17,031,090200,1
137065,17,031,090200,2
66311,17,031,090200,3
107986,17,031,090200,4
250001,17,031,090200,5
103421,17,031,090300,1
135504,17,031,100100,1
114300,17,031,100100,2
91190,17,031,100100,3
84565,17,031,100100,4
103295,17,031,100200,1
186034,17,031,100200,2
135877,17,031,100200,3
77637,17,031,100200,4
84514,17,031,100200,5
100486,17,031,100200,6
63571,17,031,100200,7
-666666666,17,031,100300,1
74028,17,031,100300,2
-666666666,17,031,100300,3
75846,17,031,100300,4
109297,17,031,100300,5
-666666666,17,031,100300,6
110455,17,031,100400,1
151917,17,031,100400,2
113828,17,031,100400,3
100953,17,031,100500,1
117000,17,031,100500,2
83298,17,031,100500,3
101083,17,031,100500,4
76542,17,031,100500,5
76667,17,031,100600,1
62341,17,031,100600,2
75313,17,031,100600,3
75284,17,031,100600,4
91167,17,031,100700,1
108289,17,031,100700,2
125000,17,031,100700,3
91250,17,031,100700,4
112604,17,031,100700,5
74191,17,031,110100,1
118393,17,031,110100,2
79179,17,031,110100,3
106781,17,031,110100,4
69375,17,031,110100,5
64338,17,031,110200,1
68533,17,031,110200,2
115595,17,031,110300,1
101066,17,031,110300,2
117750,17,031,110300,3
118000,17,031,110300,4
66719,17,031,110300,5
80216,17,031,110400,1
70625,17,031,110400,2
73029,17,031,110400,3
84216,17,031,110501,1
109013,17,031,110501,2
136172,17,031,110501,3
89833,17,031,110501,4
62802,17,031,110502,1
73049,17,031,110502,2
149142,17,031,120100,1
181136,17,031,120100,2
193482,17,031,120100,3
125778,17,031,120100,4
121250,17,031,120200,1
149417,17,031,120200,2
158750,17,031,120200,3
113869,17,031,120200,4
103693,17,031,120300,1
88194,17,031,120300,2
210804,17,031,120300,3
-666666666,17,031,120300,4
173750,17,031,120300,5
117273,17,031,120300,6
120625,17,031,120400,1
150347,17,031,120400,2
95417,17,031,120400,3
-666666666,17,031,130100,1
17408,17,031,130100,2
61630,17,031,130100,3
97361,17,031,130200,1
44038,17,031,130300,1
