H1_001N,H8_001N,state,county,tract,block group
690,1478,17,031,811100,4
401,985,17,031,811200,1
284,778,17,031,811000,3
365,823,17,031,811000,4
548,1125,17,031,811000,5
1313,2438,17,031,811100,1
462,1164,17,031,231200,4
489,1242,17,031,231200,1
468,1126,17,031,231200,2
443,1158,17,031,231200,3
519,1281,17,031,231200,5
351,757,17,031,231500,1
373,865,17,031,231500,2
416,1136,17,031,231500,3
566,1383,17,031,231500,4
765,1468,17,031,231500,5
849,1556,17,031,240200,1
686,1362,17,031,240300,1
1380,2610,17,031,240500,1
687,1489,17,031,240600,1
718,1499,17,031,240700,1
369,760,17,031,240800,1
432,857,17,031,240800,2
622,1122,17,031,240900,1
551,1235,17,031,241000,1
457,993,17,031,241000,2
882,1700,17,031,241100,1
926,1863,17,031,241100,2
421,863,17,031,241200,1
472,847,17,031,241200,2
852,1763,17,031,241300,1
833,1355,17,031,241400,1
518,982,17,031,241400,2
775,1392,17,031,241400,3
792,1544,17,031,241400,4
668,1314,17,031,241500,1
368,674,17,031,241500,2
545,966,17,031,241500,3
800,1480,17,031,241600,1
1151,2054,17,031,241600,2
846,1653,17,031,242000,1
1088,1864,17,031,242000,2
672,1137,17,031,242000,3
648,1139,17,031,242100,1
627,1176,17,031,242100,2
840,1661,17,031,242100,3
247,566,17,031,491200,3
342,830,17,031,491100,5
299,800,17,031,491200,1
262,650,17,031,491200,2
259,570,17,031,491300,1
188,401,17,031,491300,2
192,457,17,031,491300,3
220,573,17,031,491300,4
540,751,17,031,491400,1
427,728,17,031,491400,2
529,1085,17,031,491400,3
283,681,17,031,500100,1
286,657,17,031,500100,2
315,736,17,031,500100,3
822,1471,17,031,500100,4
272,692,17,031,844700,1
325,697,17,031,844700,2
385,945,17,031,844700,3
0,0,17,031,980000,1
2,17,17,031,980100,1
0,0,17,031,990000,0
628,1222,17,031,500200,1
229,466,17,031,500200,2
391,654,17,031,500300,1
547,932,17,031,500300,2
499,1339,17,031,510100,1
715,1873,17,031,510100,2
361,1008,17,031,510200,1
372,840,17,031,510200,2
442,1072,17,031,510200,3
600,1202,17,031,510300,1
486,1059,17,031,510300,2
326,628,17,031,510300,3
821,1960,17,031,510300,4
669,1744,17,031,520100,1
299,701,17,031,520200,1
444,1258,17,031,520200,2
538,1371,17,031,520200,3
522,1509,17,031,520300,1
491,1465,17,031,520300,2
402,1128,17,031,520300,3
504,1573,17,031,520300,4
271,909,17,031,520400,1
404,980,17,031,520400,2
346,966,17,031,520400,3
386,1200,17,031,520400,4
310,894,17,031,520500,1
386,842,17,031,843800,2
474,1169,17,031,843700,1
649,1375,17,031,843700,2
484,1158,17,031,843800,1
450,918,17,031,843900,1
303,487,17,031,843900,2
575,743,17,031,843900,3
380,658,17,031,843900,4
688,850,17,031,843900,5
796,1627,17,031,844600,1
740,1538,17,031,051000,1
711,1513,17,031,050700,1
600,1406,17,031,050800,1
679,1426,17,031,050900,1
720,1599,17,031,051100,1
339,718,17,031,051200,1
361,809,17,031,051200,2
511,1329,17,031,051300,1
672,1578,17,031,051300,2
527,1266,17,031,051400,1
674,1226,17,031,051400,2
401,803,17,031,060100,1
597,1303,17,031,060100,2
371,724,17,031,060100,3
668,1169,17,031,060200,1
546,1133,17,031,060200,2
745,1640,17,031,060300,1
673,1436,17,031,060300,2
771,1652,17,031,060400,1
438,969,17,031,060400,2
471,1080,17,031,060400,3
822,1374,17,031,060500,1
1319,1651,17,031,060800,1
0,0,17,031,060800,2
1059,1602,17,031,060800,3
1469,2042,17,031,060800,4
900,1188,17,031,060900,1
6,30,17,031,060900,2
516,1408,17,031,802504,4
1,11,17,031,802505,1
531,1041,17,031,802505,2
938,1299,17,031,060900,3
468,796,17,031,060900,4
1320,1711,17,031,060900,5
1644,2080,17,031,060900,6
1333,2279,17,031,061000,1
751,1367,17,031,061100,1
948,1932,17,031,061200,1
915,1797,17,031,061500,1
740,978,17,031,061800,1
586,788,17,031,061901,1
606,886,17,031,061901,2
565,866,17,031,061901,3
783,1085,17,031,061901,4
456,1419,17,031,801902,2
709,1897,17,031,801901,2
333,840,17,031,801901,3
349,1077,17,031,801902,1
407,924,17,031,801902,3
909,2623,17,031,802002,1
779,2289,17,031,802002,2
946,2679,17,031,802003,1
316,710,17,031,802004,1
527,1415,17,031,802004,2
711,1725,17,031,802004,3
826,1935,17,031,802004,4
251,779,17,031,802100,1
387,972,17,031,802100,2
656,1962,17,031,802100,3
447,1237,17,031,802200,1
902,1746,17,031,802200,2
764,1853,17,031,802200,3
1146,2640,17,031,802300,1
1490,3134,17,031,802300,2
966,2018,17,031,802402,1
569,1150,17,031,802402,2
661,1197,17,031,802402,3
364,1034,17,031,802402,4
905,1531,17,031,802403,1
732,1900,17,031,802404,1
974,2132,17,031,802404,2
444,1114,17,031,802404,3
814,2147,17,031,802404,4
494,1237,17,031,802503,1
822,1810,17,031,802503,2
952,2400,17,031,802503,3
312,886,17,031,802503,4
476,1432,17,031,802504,1
395,1278,17,031,802504,2
673,2135,17,031,802504,3
563,674,17,031,071500,5
939,1307,17,031,071500,2
959,1338,17,031,071500,3
624,1083,17,031,071500,4
478,623,17,031,071500,6
822,1793,17,031,071600,1
354,783,17,031,071700,1
423,870,17,031,071700,2
707,1944,17,031,610300,2
357,709,17,031,600900,3
475,1153,17,031,600900,4
692,1787,17,031,610300,1
581,1637,17,031,610300,3
754,2019,17,031,610400,1
643,1512,17,031,610800,1
329,976,17,031,611200,1
583,1677,17,031,611200,2
356,915,17,031,611300,1
343,1073,17,031,611300,2
525,1620,17,031,611300,3
543,1495,17,031,611400,1
285,931,17,031,611400,2
459,1309,17,031,611400,3
459,1296,17,031,611500,1
744,2147,17,031,611500,2
334,1062,17,031,611600,1
272,859,17,031,611600,2
244,735,17,031,611700,1
223,628,17,031,611700,2
266,817,17,031,611700,3
546,1502,17,031,611800,1
256,703,17,031,611800,2
482,1260,17,031,611900,1
277,724,17,031,611900,2
6,46,17,031,802505,3
904,2082,17,031,071800,1
255,570,17,031,071800,2
454,510,17,031,080100,1
776,1164,17,031,080100,2
800,1034,17,031,080100,3
584,811,17,031,080100,4
1062,1347,17,031,080100,5
666,902,17,031,080100,6
432,620,17,031,080100,7
1106,1354,17,031,080201,1
1202,1443,17,031,080201,2
397,578,17,031,080201,3
236,497,17,031,612000,1
400,951,17,031,612000,2
558,1153,17,031,612100,1
402,1313,17,031,612200,1
516,1480,17,031,612200,2
392,1146,17,031,612200,3
421,1431,17,031,620100,1
537,1977,17,031,620100,2
330,1159,17,031,620100,3
395,1056,17,031,620200,1
443,1334,17,031,620200,2
373,764,17,031,400400,2
2154,3180,17,031,390700,3
703,1485,17,031,400300,1
607,1212,17,031,400400,1
595,1217,17,031,400500,1
472,1155,17,031,400500,2
714,1397,17,031,400800,1
835,1781,17,031,400800,2
620,933,17,031,410100,1
1109,1329,17,031,410100,2
777,1165,17,031,410200,1
753,1383,17,031,410500,1
893,1539,17,031,410500,2
708,1221,17,031,410600,1
484,916,17,031,410600,2
1505,2379,17,031,410700,1
782,1243,17,031,410800,1
1126,1732,17,031,410800,2
571,934,17,031,410900,1
516,693,17,031,410900,2
1185,1970,17,031,410900,3
1056,1206,17,031,411000,1
330,516,17,031,411000,2
1439,1966,17,031,411000,3
540,1072,17,031,411100,1
527,858,17,031,411100,2
605,1106,17,031,411200,1
257,563,17,031,411200,2
855,1642,17,031,420100,1
763,1552,17,031,420200,1
851,1667,17,031,420300,1
917,1519,17,031,420400,1
644,950,17,031,420500,1
606,1103,17,031,420500,2
695,1419,17,031,420600,1
577,1105,17,031,420600,2
277,472,17,031,420700,1
249,441,17,031,420700,2
514,931,17,031,420700,3
307,556,17,031,420700,4
353,621,17,031,420700,5
827,1101,17,031,080202,1
960,1348,17,031,080202,2
1404,1776,17,031,080202,3
620,902,17,031,080300,1
1474,2170,17,031,080300,2
683,1155,17,031,080300,3
843,1245,17,031,080300,4
1205,2615,17,031,080400,1
393,760,17,031,080400,2
602,1189,17,031,080400,3
312,428,17,031,081000,1
1243,1868,17,031,081000,2
836,957,17,031,081000,3
1232,1278,17,031,081000,4
1315,1352,17,031,081000,5
1117,1316,17,031,081000,6
1167,1576,17,031,081100,1
1082,1188,17,031,081100,2
1142,1423,17,031,081100,3
974,1177,17,031,081201,1
2025,2572,17,031,081201,2
1063,1924,17,031,242300,2
1044,1938,17,031,242200,1
1156,2144,17,031,242200,2
884,1644,17,031,242300,1
702,1213,17,031,242400,1
916,1680,17,031,242400,2
924,1792,17,031,242500,1
818,1624,17,031,242500,2
730,1498,17,031,242600,1
785,1567,17,031,242600,2
828,1609,17,031,242600,3
533,991,17,031,242600,4
900,1931,17,031,242700,1
743,1507,17,031,242800,1
712,1397,17,031,242900,1
277,557,17,031,242900,2
471,999,17,031,243000,1
653,1235,17,031,243000,2
645,1416,17,031,243100,1
384,833,17,031,243100,2
529,1148,17,031,243200,1
582,1129,17,031,243200,2
481,869,17,031,243300,1
852,1562,17,031,243300,2
690,1307,17,031,243400,1
322,619,17,031,243400,2
585,953,17,031,243400,3
721,1354,17,031,243500,1
2296,3392,17,031,243500,2
468,1390,17,031,250200,1
517,1389,17,031,250200,2
515,1350,17,031,250300,1
390,953,17,031,250300,2
745,1834,17,031,250300,3
282,605,17,031,250300,4
295,682,17,031,250400,1
440,1266,17,031,250400,2
591,1451,17,031,250400,3
434,900,17,031,250400,4
583,1490,17,031,250400,5
435,1266,17,031,250500,1
929,2288,17,031,310800,3
715,1566,17,031,310700,1
463,963,17,031,310800,1
461,916,17,031,310800,2
706,1530,17,031,310900,1
635,1504,17,031,310900,2
760,1743,17,031,310900,3
2457,3323,17,031,320101,1
27,75,17,031,320101,2
1841,2845,17,031,320101,3
2264,3267,17,031,320101,4
2672,3889,17,031,320102,1
744,930,17,031,320102,2
1268,1763,17,031,320400,1
1806,2716,17,031,320600,1
2839,3289,17,031,320600,2
1060,1898,17,031,330101,1
1525,2694,17,031,330101,2
923,1467,17,031,330102,1
3298,4439,17,031,330102,2
2424,3512,17,031,330102,3
808,1378,17,031,330102,4
1484,2201,17,031,330103,1
725,1466,17,031,804709,2
304,684,17,031,804709,3
476,1267,17,031,804709,4
446,1143,17,031,828701,2
687,1956,17,031,828602,1
951,2526,17,031,828602,2
308,873,17,031,828701,1
412,957,17,031,828701,3
325,765,17,031,828701,4
594,1240,17,031,828702,1
690,1723,17,031,828702,2
599,1669,17,031,828702,3
345,972,17,031,828801,1
313,845,17,031,828801,2
547,1511,17,031,828801,3
710,2434,17,031,804514,2
648,1595,17,031,804513,2
563,1378,17,031,804513,3
448,915,17,031,804514,1
512,1341,17,031,804514,3
990,2342,17,031,804603,1
825,1279,17,031,804603,2
1040,1956,17,031,804603,3
301,817,17,031,804606,1
822,2305,17,031,804606,2
437,1319,17,031,804606,3
1000,2526,17,031,804606,4
681,1947,17,031,804607,1
747,2302,17,031,804607,2
521,1523,17,031,804607,3
689,1351,17,031,804607,4
567,1440,17,031,804608,1
283,822,17,031,804608,2
783,1765,17,031,804608,3
922,2555,17,031,804609,1
944,1886,17,031,804609,2
806,1706,17,031,804609,3
909,1834,17,031,804610,1
384,690,17,031,804610,2
650,1601,17,031,804611,1
975,1887,17,031,804611,2
423,1165,17,031,804611,3
459,1418,17,031,804701,1
470,1312,17,031,804701,2
923,1978,17,031,804701,3
933,2084,17,031,804701,4
443,1305,17,031,804705,1
782,1723,17,031,804705,2
499,1120,17,031,804705,3
484,1506,17,031,804706,1
338,1047,17,031,804706,2
489,1322,17,031,804709,1
276,939,17,031,640800,1
262,860,17,031,640800,2
385,1320,17,031,650100,1
309,1162,17,031,650100,2
338,1122,17,031,650100,3
333,1159,17,031,650100,4
383,1281,17,031,650200,1
466,1618,17,031,650200,2
409,1323,17,031,650200,3
417,1470,17,031,650200,4
285,686,17,031,650200,5
279,873,17,031,650200,6
381,1252,17,031,650301,1
490,1743,17,031,650301,2
453,1634,17,031,650301,3
331,1191,17,031,650301,4
549,2062,17,031,650302,1
608,2460,17,031,650302,2
274,1117,17,031,650400,1
297,1155,17,031,650400,2
435,1656,17,031,650400,3
385,1479,17,031,650400,4
387,1476,17,031,650400,5
313,1129,17,031,650500,1
